City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Deqing,CN,2022-01-24 00:44:24,30.5448,119.9599,46.94,92,100,5.68
67,Rikitea,PF,2022-01-24 00:44:25,-23.1203,-134.9692,78.42,70,100,15.37
68,Toora-Khem,RU,2022-01-24 00:44:25,52.4675,96.11,-12.82,100,94,0.43
69,Qui Nhon,VN,2022-01-24 00:43:42,13.7667,109.2333,74.68,85,24,4.18
70,Rio Brilhante,BR,2022-01-24 00:44:26,-21.8019,-54.5464,79.41,63,52,4.99
71,Port Elizabeth,ZA,2022-01-24 00:44:26,-33.918,25.5701,62.89,88,0,2.3
72,Portland,US,2022-01-24 00:42:04,45.5234,-122.6762,52.77,76,20,1.01
73,Doembang Nangbuat,TH,2022-01-24 00:44:26,14.8333,100.1,76.05,67,40,2.57
74,Torbay,CA,2022-01-24 00:43:15,47.6666,-52.7314,26.76,89,100,16.11
75,Saint-Philippe,RE,2022-01-24 00:44:27,-21.3585,55.7679,76.59,82,37,7.74
76,Sale,MA,2022-01-24 00:41:10,34.0389,-6.8166,58.64,100,2,0.0
77,Busselton,AU,2022-01-24 00:44:27,-33.65,115.3333,72.05,58,63,16.69
78,Pathein,MM,2022-01-24 00:44:28,16.7833,94.7333,68.74,74,6,2.04
79,Bati,ET,2022-01-24 00:44:28,11.1833,40.0167,59.4,56,18,3.33
80,Yertsevo,RU,2022-01-24 00:44:28,60.7966,40.086,11.61,92,96,9.24
81,Khasan,RU,2022-01-24 00:44:29,42.4308,130.6434,19.15,53,8,8.46
82,Petauke,ZM,2022-01-24 00:44:29,-14.2426,31.3253,60.71,97,100,2.86
83,Mahebourg,MU,2022-01-24 00:44:29,-20.4081,57.7,79.09,89,20,3.44
84,Iberia,US,2022-01-24 00:44:30,29.9502,-91.7507,48.2,49,0,6.91
85,Diego De Almagro,CL,2022-01-24 00:41:28,-26.3667,-70.05,64.9,43,86,3.78
86,Kloulklubed,PW,2022-01-24 00:44:30,7.0419,134.2556,82.9,80,80,18.88
87,Nouadhibou,MR,2022-01-24 00:44:31,20.931,-17.0347,69.78,60,100,14.97
88,Shimanovsk,RU,2022-01-24 00:44:31,52.0,127.7,-2.2,89,5,4.27
89,Talcahuano,CL,2022-01-24 00:44:31,-36.7167,-73.1167,60.08,83,0,12.68
90,Kodiak,US,2022-01-24 00:44:32,57.79,-152.4072,42.31,81,100,12.66
91,Walvis Bay,NA,2022-01-24 00:44:32,-22.9575,14.5053,77.95,69,100,4.61
92,Luanda,AO,2022-01-24 00:42:21,-8.8368,13.2343,75.2,83,0,3.44
93,Antofagasta,CL,2022-01-24 00:44:40,-23.65,-70.4,66.22,77,80,6.13
94,Ust-Ishim,RU,2022-01-24 00:45:33,57.6935,71.1665,-10.14,98,30,2.73
95,Punta Arenas,CL,2022-01-24 00:45:33,-53.15,-70.9167,53.71,71,75,23.02
96,Vestmanna,FO,2022-01-24 00:45:33,62.1564,-7.1664,38.32,65,75,24.16
97,Nombre De Dios,MX,2022-01-24 00:45:34,23.85,-104.2333,65.75,40,100,11.86
98,Sao Filipe,CV,2022-01-24 00:45:34,14.8961,-24.4956,74.35,73,100,15.43
99,Samarai,PG,2022-01-24 00:45:34,-10.6167,150.6667,86.25,70,17,11.54
100,Celestun,MX,2022-01-24 00:45:35,20.8667,-90.4,72.79,78,15,17.34
101,Comodoro Rivadavia,AR,2022-01-24 00:45:35,-45.8667,-67.5,69.66,28,0,31.07
102,Tongren,CN,2022-01-24 00:45:36,27.7172,109.1853,36.99,99,100,3.13
103,Gat,IL,2022-01-24 00:45:36,31.61,34.7642,50.4,100,44,13.04
104,Kaitangata,NZ,2022-01-24 00:45:37,-46.2817,169.8464,56.93,68,29,8.95
105,San Blas,MX,2022-01-24 00:45:37,21.5167,-105.2667,72.48,80,100,5.95
106,Kavieng,PG,2022-01-24 00:45:00,-2.5744,150.7967,84.72,67,89,8.1
107,Yinchuan,CN,2022-01-24 00:45:37,38.4681,106.2731,27.39,63,96,2.77
108,Maragogi,BR,2022-01-24 00:45:38,-9.0122,-35.2225,78.66,73,20,5.93
109,Castro,BR,2022-01-24 00:40:50,-24.7911,-50.0119,66.15,95,48,3.85
110,Bontang,ID,2022-01-24 00:45:38,0.1333,117.5,79.57,82,25,2.98
111,North Augusta,US,2022-01-24 00:43:17,33.5018,-81.9651,45.97,64,0,4.61
112,Mitsamiouli,KM,2022-01-24 00:45:40,-11.3847,43.2844,81.03,80,100,26.53
113,Nikolskoye,RU,2022-01-24 00:40:55,59.7035,30.7861,26.87,94,100,8.79
114,Nguruka,TZ,2022-01-24 00:45:41,-5.1092,31.0419,62.2,97,100,2.53
115,Mar Del Plata,AR,2022-01-24 00:45:23,-38.0023,-57.5575,71.1,84,0,7.0
116,Dingle,PH,2022-01-24 00:45:41,10.9995,122.6711,81.21,79,74,10.83
117,Chiredzi,ZW,2022-01-24 00:45:41,-21.05,31.6667,69.96,86,100,10.31
118,Chokurdakh,RU,2022-01-24 00:45:42,70.6333,147.9167,-20.51,99,97,6.8
119,Tall Kayf,TR,2022-01-24 00:45:42,37.0833,41.0667,34.38,91,100,8.05
120,Tessalit,ML,2022-01-24 00:45:42,20.1986,1.0114,58.1,12,2,10.6
121,Lubao,PH,2022-01-24 00:45:43,14.9167,120.55,82.15,69,100,5.64
122,Samdrup Jongkhar,BT,2022-01-24 00:45:43,26.9167,91.6167,49.35,78,95,2.59
123,Sibolga,ID,2022-01-24 00:45:43,1.7427,98.7792,77.04,85,95,1.97
124,Salalah,OM,2022-01-24 00:45:44,17.0151,54.0924,66.29,27,0,12.66
125,Butaritari,KI,2022-01-24 00:45:44,3.0707,172.7902,82.02,79,100,18.61
126,Watertown,US,2022-01-24 00:45:37,42.3709,-71.1828,32.45,54,100,5.01
127,Mombasa,KE,2022-01-24 00:45:45,-4.0547,39.6636,79.21,83,75,3.44
128,York,US,2022-01-24 00:45:45,40.1254,-77.0,32.99,72,100,3.44
129,Norfolk,US,2022-01-24 00:43:45,42.1668,-71.2495,32.52,58,100,4.61
130,Moose Factory,CA,2022-01-24 00:45:46,51.2585,-80.6094,-14.82,76,100,5.75
131,Clyde River,CA,2022-01-24 00:45:46,70.4692,-68.5914,-5.57,84,100,29.93
132,Vila,PT,2022-01-24 00:45:46,42.0304,-8.1588,34.32,79,0,2.95
133,Mocuba,MZ,2022-01-24 00:45:46,-16.8392,36.9856,72.73,99,100,5.88
134,Ponta Do Sol,PT,2022-01-24 00:45:47,32.6667,-17.1,63.72,80,97,4.85
135,Ribeira Grande,PT,2022-01-24 00:46:47,38.5167,-28.7,59.86,65,7,5.37
136,Roma,US,2022-01-24 00:45:50,43.2128,-75.4557,21.96,83,100,4.61
137,Uray,RU,2022-01-24 00:46:48,60.1247,64.7758,7.03,96,100,5.06
138,Russell,US,2022-01-24 00:46:48,32.3502,-85.1999,46.0,58,0,4.61
139,Kupino,RU,2022-01-24 00:46:48,54.3663,77.2981,-2.58,97,100,5.41
140,Saldanha,ZA,2022-01-24 00:46:49,-33.0117,17.9442,65.88,94,86,9.98
141,Thompson,CA,2022-01-24 00:46:49,55.7435,-97.8558,-12.84,70,0,8.05
142,Hanyang,CN,2022-01-24 00:46:49,32.1371,105.5126,37.6,76,33,3.4
143,Bagdarin,RU,2022-01-24 00:46:50,54.4333,113.6,-8.81,96,100,2.71
144,Hasaki,JP,2022-01-24 00:46:50,35.7333,140.8333,46.29,58,100,25.08
145,Oranjestad,AW,2022-01-24 00:45:00,12.524,-70.027,78.75,73,20,16.11
146,Shelburne,CA,2022-01-24 00:45:21,44.0787,-80.2041,7.25,93,14,4.43
147,Xai-Xai,MZ,2022-01-24 00:46:51,-25.0519,33.6442,74.34,82,59,13.18
148,Jamestown,US,2022-01-24 00:45:13,42.097,-79.2353,22.32,85,100,8.05
149,Isangel,VU,2022-01-24 00:46:51,-19.55,169.2667,86.11,84,40,4.61
150,Khryashchevka,RU,2022-01-24 00:46:52,53.8119,49.0916,15.78,91,100,3.47
151,Baykit,RU,2022-01-24 00:46:52,61.67,96.37,-1.75,99,100,1.12
152,Dundwaraganj,IN,2022-01-24 00:46:53,27.7333,78.95,53.64,93,100,6.24
153,Port-Gentil,GA,2022-01-24 00:43:38,-0.7193,8.7815,79.39,79,9,8.39
154,Harper,LR,2022-01-24 00:46:53,4.375,-7.7169,77.29,86,5,5.1
155,Atuona,PF,2022-01-24 00:46:53,-9.8,-139.0333,78.66,71,15,18.28
156,Rudsar,IR,2022-01-24 00:46:54,37.1376,50.288,37.38,56,0,5.14
157,Viedma,AR,2022-01-24 00:46:54,-40.8135,-62.9967,76.77,33,26,17.94
158,Alice Springs,AU,2022-01-24 00:45:10,-23.7,133.8833,85.55,62,20,4.61
159,Zabid,YE,2022-01-24 00:46:55,14.1951,43.3152,74.1,76,0,1.88
160,Bilibino,RU,2022-01-24 00:46:55,68.0546,166.4372,-27.99,96,100,4.29
161,Sao Paulo De Olivenca,BR,2022-01-24 00:46:55,-3.3783,-68.8725,73.04,90,95,2.44
162,Tasiilaq,GL,2022-01-24 00:46:56,65.6145,-37.6368,15.96,55,100,11.92
163,Ponta Delgada,PT,2022-01-24 00:46:56,37.7333,-25.6667,59.5,82,20,8.05
164,Lavrentiya,RU,2022-01-24 00:46:56,65.5833,-171.0,10.13,96,100,4.18
165,Podor,MR,2022-01-24 00:46:57,16.6527,-14.9587,76.95,29,100,2.3
166,Cajueiro,BR,2022-01-24 00:46:58,-9.7167,-36.45,74.05,88,34,6.93
167,Ribas Do Rio Pardo,BR,2022-01-24 00:46:58,-20.4431,-53.7592,75.96,84,37,4.97
168,Adrar,MR,2022-01-24 00:46:59,20.5022,-10.0711,65.03,17,100,11.21
169,Artvin,TR,2022-01-24 00:46:59,41.1667,41.8333,40.28,87,57,5.99
170,Kharan,PK,2022-01-24 00:47:00,28.5833,65.4167,40.46,44,0,8.59
171,Yerbogachen,RU,2022-01-24 00:42:09,61.2767,108.0108,-15.11,100,98,4.41
172,Sanary-Sur-Mer,FR,2022-01-24 00:47:00,43.1178,5.8001,39.15,78,0,1.23
173,Tottori,JP,2022-01-24 00:46:46,35.5,134.2333,44.67,57,75,23.02
174,Sinnamary,GF,2022-01-24 00:47:01,5.3833,-52.95,75.67,89,42,7.56
175,Longyearbyen,SJ,2022-01-24 00:47:01,78.2186,15.6401,13.84,79,0,13.8
176,San Antonio,US,2022-01-24 00:43:52,29.4241,-98.4936,56.41,47,100,0.0
177,Sampit,ID,2022-01-24 00:47:02,-2.5333,112.95,81.93,73,94,4.99
178,Victoria,HK,2022-01-24 00:45:21,22.2855,114.1577,68.38,93,100,1.99
179,Bandarbeyla,SO,2022-01-24 00:47:03,9.4942,50.8122,74.21,71,86,16.69
180,Naze,JP,2022-01-24 00:47:03,28.3667,129.4833,65.32,79,83,11.05
181,Ranfurly,NZ,2022-01-24 00:48:04,-45.1333,170.1,50.65,67,95,4.32
182,Bawku,GH,2022-01-24 00:48:04,11.0616,-0.2417,72.16,13,0,9.24
183,Semnan,IR,2022-01-24 00:48:04,35.5729,53.3971,31.55,36,0,1.36
184,Maniitsoq,GL,2022-01-24 00:48:05,65.4167,-52.9,19.74,68,100,19.73
185,Lagoa,PT,2022-01-24 00:48:05,39.05,-27.9833,59.22,63,3,6.96
186,Bintulu,MY,2022-01-24 00:48:05,3.1667,113.0333,75.61,94,40,3.0
187,Kenai,US,2022-01-24 00:46:24,60.5544,-151.2583,37.02,96,100,10.36
188,Darnah,LY,2022-01-24 00:48:06,32.767,22.6367,50.27,55,100,14.76
189,Nassau,US,2022-01-24 00:45:34,40.7507,-73.5829,34.88,66,100,1.99
190,Ayr,GB,2022-01-24 00:48:06,55.4627,-4.6339,45.32,81,75,13.8
191,Pevek,RU,2022-01-24 00:48:07,69.7008,170.3133,-10.19,96,100,18.77
192,Guerrero Negro,MX,2022-01-24 00:48:07,27.9769,-114.0611,63.12,49,100,10.09
193,Tuensang,IN,2022-01-24 00:48:07,26.2833,94.8333,49.62,97,100,2.39
194,Namibe,AO,2022-01-24 00:48:08,-15.1961,12.1522,75.22,84,81,2.89
195,Nurota,UZ,2022-01-24 00:48:08,40.5614,65.6886,24.89,75,1,4.12
196,Serra Talhada,BR,2022-01-24 00:48:09,-7.9919,-38.2983,76.41,69,78,1.5
